Code	NAME	FatherAccountKey	ActiveAccount	AcctCurrency	AccountType	LockManualTransaction	CashAccount	CfwRlvnt	BudgetAccount	RateExch	DistributionRuleRelevant	DistributionRule2Relevant	DistributionRule3Relevant	DistributionRule4Relevant	DistributionRule5Relevant	U_SYP_CBALC	U_CTA_PAT	U_SYP_CLCB
AcctCode	ACCTNAME	FatherNum	Postable	ActCurr	ActType	LocManTran	Finanse	CfwRlvnt	Budget	ExchRate	Dim1Relvnt	Dim2Relvnt	Dim3Relvnt	Dim4Relvnt	Dim5Relvnt	U_SYP_CBALC	U_CTA_PAT	U_SYP_CLCB
14421001	ADELANTO DE DIETAS - GERENTES	1442	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1443	ENTREGAS A RENDIR CUENTA	144	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14431001	ENTREGAS A RENDIR CUENTA - GERENTES	1443	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
148	DIVERSAS	14	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
1481	DIVERSAS	148	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14811001	DIVERSAS	1481	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
16	CUENTAS POR COBRAR DIVERSAS - TERCEROS	100000000000000	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
161	PRÉSTAMOS	16	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
1611	CON GARANTÍA	161	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
16111001	PRESTAMOS CON GARANTÍA MN	1611	tYES	S/	at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
16111002	PRESTAMOS CON GARANTÍA ME	1611	tYES	US$	at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1612	SIN GARANTÍA	161	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
16121001	PRESTAMOS SIN GARANTÍA MN	1612	tYES	S/	at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
16121002	PRESTAMOS SIN GARANTÍA ME	1612	tYES	US$	at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
162	RECLAMACIONES A TERCEROS	16	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
